studyid,prev_ts,next_ts,fw_start,fw_end,sample,mipid,weightavailable,unique_mip,respondents,mipd1,mipd2,mipd3,mipd4,mipd5,mipd6,mipd7,mipd8,mipd9,mipd10,mipd11,mipd12,mipd13,mipd14,mipd15,mipds101,mipds102,mipds103,mipds105,mipds109,mipds110,mipds203,mipds204,mipds207,mipds308,mipds309,mipds401,mipds404,mipds503,mipds509,mipds601,mipds602,mipds603,mipds605,mipds610,mipds804,mipds901,mipds1001,mipds1011,mipds1012,mipde101,mipde102,mipde103,mipde105,mipde108,mipde109,mipde110,mipde501,mipde502,mipde504,mipdfp506,mipdfp601,mipdfp602,mipdfp603,mipdfp604,mipdfp605,mipdfp606,mipdfp608,mipdfp610,mipdfp701,mipdfp702,mipdsp201,mipdsp202,mipdsp203,mipdsp204,mipdsp205,mipdsp207,mipdsp208,mipdsp210,mipdsp211,mipdsp212,mipdsp217,cap1,cap2,cap3,cap4,cap5,cap6,cap7,cap8,cap9,cap10,cap12,cap13,cap14,cap15,cap16,cap17,cap18,cap19,cap20,cap21,cap22,cap23,cap24
"usaipo1945-0357",07nov1944,02nov1948,05oct1945,10oct1945,"National Adults",13,"None",25,2993,61.52143,9.214277,1.208534,.1948992,1.756877,20.63537,1.31073,0,.4720539,.0918811,.1948992,0,2.881167,.517875,0,0,28.40437,3.580895,1.205034,0,25.9828,0,0,0,0,1.208534,.1948992,0,0,0,1.570225,0,1.713204,17.35194,0,0,0,.0918811,0,0,0,28.40437,3.580895,1.205034,2.348336,0,25.9828,0,0,.2466867,.1548057,1.570225,0,1.713204,0,17.35194,0,0,0,1.281774,.0289565,0,0,0,0,0,0,0,0,1.160486,0,8.053792,59.26498,1.208534,0,1.51019,2.348336,0,0,0,0,0,.3897984,0,1.160486,0,27.27374,0,.0579129,2.823042,.0918811,0,3.353221,.517875,0
"usaipo1946-0366",07nov1944,02nov1948,28feb1946,05mar1946,"National Adults",14,"None",25,2233,67.22005,13.83202,.1044932,0,8.026571,6.203484,.1694283,0,0,0,0,0,4.443947,0,0,0,8.557994,9.799651,0,.0850873,44.35332,0,0,0,0,.1044932,0,0,0,0,.6759005,0,.1594055,5.368179,0,0,0,0,0,0,0,8.557994,9.799651,0,4.409081,.0850873,44.35332,0,0,1.58979,1.58979,.6759005,0,.1594055,0,5.368179,0,0,0,.1694283,0,0,0,0,0,0,0,0,0,13.83202,0,0,62.79605,.1044932,0,6.436782,4.409081,0,0,0,0,0,0,0,13.83202,.0149276,7.117373,0,0,.8453287,0,0,4.443947,0,0
"usaipo1946-0374",07nov1944,02nov1948,28jun1946,03jul1946,"National Adults",13,"None",25,4137,58.49327,4.504875,.0443155,0,15.46249,15.78116,2.650069,0,.0443155,.076545,0,0,2.942954,0,0,0,3.722504,45.38313,.0982999,0,9.28934,0,0,0,0,.0443155,0,0,0,0,3.075095,0,3.657642,5.388365,3.66006,0,0,.0282008,0,0,0,3.722504,45.38313,.0982999,0,0,9.28934,0,0,0,0,3.075095,0,3.657642,0,5.388365,0,0,3.66006,2.650069,0,0,0,0,0,0,0,0,0,4.504875,0,0,58.49327,.0443155,0,15.46249,0,0,0,0,0,0,0,0,4.504875,0,9.046008,0,0,9.385222,.076545,0,2.987269,0,0
"usaipo1946-0378",07nov1944,02nov1948,13sep1946,18sep1946,"National Adults",12.1,"None",25,2263,41.48376,4.610137,0,0,5.100899,27.38774,6.511005,1.417735,0,.0662837,.0147297,0,13.18677,.2209456,0,1.6512,.0935337,21.3979,0,1.32641,16.96684,0,0,0,0,0,0,0,0,.0478716,20.62854,0,0,6.759201,0,1.417735,0,.0662837,0,0,1.6512,.0935337,21.3979,0,0,1.32641,16.96684,1.6512,0,.128885,0,20.62854,0,0,0,6.759201,0,0,0,6.511005,0,0,0,0,0,0,0,0,0,.5792459,0,4.03089,43.21597,0,0,3.272942,0,0,0,1.417735,.0478716,0,.0147297,0,.5792459,.0478716,10.79009,0,0,27.13954,.0662837,0,13.18677,.2209456,0
"usaipo1947-0387",07nov1944,02nov1948,02jan1947,07jan1947,"National Adults",11,"None",13,1468,.2043597,49.30745,0,0,13.99864,21.49183,0,1.91871,0,0,0,0,9.264305,0,3.814714,0,.2043597,0,0,0,0,2.980245,0,37.5,0,0,0,0,0,0,1.118302,0,0,16.29768,0,1.91871,0,0,0,0,0,.2043597,0,0,0,0,0,0,0,0,0,1.118302,0,0,0,16.29768,0,4.07584,0,0,0,0,0,2.980245,0,0,37.5,0,0,8.827202,0,0,.2043597,0,0,13.99864,0,2.980245,0,1.91871,0,0,0,37.5,8.827202,0,16.29768,0,0,5.194142,0,0,9.264305,0,3.814714
"usaipo1947-0392",07nov1944,02nov1948,14mar1947,19mar1947,"National Adults",20,"None",13,1446,20.49792,2.964006,0,0,2.337812,55.51423,0,0,0,0,0,0,7.621023,0,11.06501,2.337812,0,4.675624,0,3.199631,10.28486,0,0,0,0,0,0,0,0,0,24.76866,0,3.703978,15.70045,9.204208,0,0,0,0,0,2.337812,0,4.675624,0,0,3.199631,10.28486,2.337812,0,0,0,24.76866,0,3.703978,0,15.70045,0,2.13693,9.204208,0,0,0,0,0,0,0,0,0,0,2.964006,0,0,22.83574,0,0,0,0,0,0,0,0,0,0,0,2.964006,0,19.40443,0,0,36.10979,0,0,7.621023,0,11.06501
"usaipo1947-0401",07nov1944,02nov1948,25jul1947,30jul1947,"National Adults",1,"None",13,2863,31.65008,5.05181,0,.7965338,1.593068,37.81257,.8861834,8.233164,0,2.820468,0,0,11.15613,0,0,0,0,15.00699,7.503493,1.060077,8.07952,0,0,0,0,0,0,0,0,0,8.233164,0,.7965338,20.54971,0,8.233164,0,.7713354,.7713354,0,0,0,15.00699,7.503493,0,1.060077,8.07952,0,0,1.593068,1.593068,8.233164,0,.7965338,0,20.54971,0,8.233164,0,.8861834,0,0,0,0,0,0,0,0,0,5.05181,0,0,31.65008,0,0,0,0,0,0,8.233164,0,0,.7965338,0,5.05181,0,22.93931,0,0,17.35251,2.820468,0,11.15613,0,0
"usaipo1947-0404",07nov1944,02nov1948,12sep1947,17sep1947,"National Adults",21,"None",23,2571,37.40828,1.828974,.0542086,.1309346,.3928037,26.17027,.9010934,.533448,.1401083,1.017453,.0250193,0,2.747958,0,28.64945,0,.0500387,34.55338,.0917376,.0800619,2.633067,0,0,0,0,.0542086,0,0,0,0,14.7853,0,.533448,10.83901,0,.533448,0,0,0,0,0,.0500387,34.55338,.0917376,0,.0800619,2.633067,0,0,.3928037,.3928037,14.7853,0,.533448,0,10.83901,0,.0125097,0,.9010934,0,0,0,0,0,0,0,0,0,1.828974,0,0,37.40828,.0542086,0,0,0,0,0,.533448,0,0,.1559539,0,1.828974,0,11.76527,0,0,15.6989,1.017453,0,2.888066,0,28.64945
"usaipo1948-0415",07nov1944,02nov1948,19mar1948,24mar1948,"National Adults",1,"None",13,2801,13.10157,3.532964,0,.2578444,1.031378,67.7278,.7140307,.2499107,0,11.7708,0,0,1.613709,0,0,0,2.568725,5.672081,2.568725,0,2.292038,0,0,1.890694,0,0,0,0,0,0,22.26377,0,.2499107,37.79285,7.421258,.2499107,0,2.568725,2.568725,0,0,2.568725,5.672081,2.568725,0,0,2.292038,0,0,1.031378,1.031378,22.26377,0,.2499107,0,37.79285,0,0,7.421258,.7140307,0,0,0,0,0,0,1.890694,0,0,1.642271,0,0,13.10157,0,0,0,0,0,0,.2499107,0,0,.2578444,1.890694,1.642271,0,39.07414,0,0,30.39906,11.7708,0,1.613709,0,0
"usaipo1948-0420",07nov1944,02nov1948,19jun1948,24jun1948,"National Adults",1,"None",13,3047,27.59349,7.028771,3.008424,0,2.551456,50.07103,.7548409,0,0,5.053683,0,0,3.9383,0,0,0,0,13.70458,4.568193,4.568193,4.752528,0,0,0,0,3.008424,0,0,0,0,16.81506,.4252427,0,22.58861,5.714442,0,0,0,3.008424,0,0,0,13.70458,4.568193,0,4.568193,4.752528,0,0,2.551456,2.551456,16.81506,.4252427,0,0,22.58861,0,4.527678,5.714442,.7548409,0,3.008424,0,0,0,0,0,0,0,4.020348,0,0,27.59349,3.008424,0,0,0,0,0,0,0,0,0,3.008424,4.020348,0,25.56531,0,0,27.81202,5.053683,0,3.9383,0,0
"usaipo1949-0435",02nov1948,04nov1952,07jan1949,12jan1949,"National Adults",1,"None",12,2975,30.27609,10.07424,.9747899,0,.9366947,47.53034,0,0,1.436975,0,0,0,8.770868,0,0,0,1.087302,17.07876,3.261905,5.692918,3.155211,0,0,5.692918,.9747899,0,0,0,0,0,14.40366,0,0,24.01419,7.201829,0,0,0,0,0,0,1.087302,17.07876,3.261905,0,5.692918,3.155211,0,0,.9366947,.9366947,14.40366,0,0,0,24.01419,0,1.910659,7.201829,0,0,0,0,0,0,0,5.692918,0,0,4.381326,0,0,30.27609,.9747899,0,0,0,0,0,0,0,0,0,5.692918,4.381326,0,24.95089,0,0,23.51615,0,0,10.20784,0,0
"usaipo1949-0443",02nov1948,04nov1952,11jun1949,16jun1949,"National Adults",1,"None",24,1327,36.88588,10.69916,3.001818,.4663686,2.935783,3.069335,0,4.252542,.1375719,1.800816,.3631897,0,1.475556,0,34.91197,3.511393,11.98874,7.022787,5.994369,3.511393,4.74898,1.304574,0,0,1.500909,1.500909,.2820223,0,0,0,0,.0275144,0,3.041821,0,0,0,0,0,0,3.511393,11.98874,7.022787,5.994369,.1082232,3.511393,4.74898,0,0,.0825431,.0825431,0,.0275144,0,0,3.041821,0,0,0,0,0,1.096644,0,1.304574,0,0,0,0,0,8.297941,0,0,36.77766,3.001818,.4319756,2.85324,.1082232,1.304574,1.544342,0,0,1.096644,.645212,0,8.297941,1.114332,3.151878,0,0,0,1.800816,1.346239,1.613128,0,34.91197
"usaipo1949-0447",02nov1948,04nov1952,03sep1949,08sep1949,"National Adults",2,"None",24,2896,21.67939,6.033183,1.284099,.1185514,1.282049,25.01711,1.937127,.3150972,2.34919,2.878126,.7300272,0,2.792198,0,33.58385,1.360355,5.646108,7.367125,2.720711,2.564098,2.02099,.5428407,0,0,.6420496,.6420496,0,0,0,0,16.02136,0,.1778271,5.81722,1.353091,.1778271,.6613922,0,.9593752,0,1.360355,5.646108,7.367125,2.720711,0,2.564098,2.02099,1.282049,0,0,0,16.02136,0,.1778271,0,5.81722,0,1.647612,1.353091,.2895151,1.647612,0,0,.5428407,0,.1597325,0,0,0,2.42769,0,2.90292,22.96144,1.284099,.2558215,0,0,.5428407,0,.1778271,0,0,.7300272,3.062653,2.42769,0,5.995048,0,1.647612,19.31158,2.878126,0,5.141388,0,33.58385
"usaipo1949-0449",02nov1948,04nov1952,30oct1949,05nov1949,"National Adults",11,"None",24,2903,28.82168,3.460459,.5020527,0,7.057812,18.96917,.6992614,1.840215,0,2.264121,0,0,1.022444,0,35.36278,.8900192,4.957355,5.436232,.8900192,3.58118,12.17685,0,0,0,.2510264,0,0,0,0,0,7.291375,.5354584,1.7112,4.822673,3.374111,1.7112,0,.3430878,0,0,.8900192,4.957355,5.436232,.8900192,0,3.58118,12.17685,0,0,6.670767,1.070917,7.291375,.5354584,1.7112,0,4.822673,0,1.234351,3.374111,.6992614,0,0,.256187,0,0,.3251178,0,0,0,2.879154,0,0,34.42153,.5020527,.129015,.387045,0,0,0,1.7112,0,0,0,.5813048,2.879154,0,8.140248,0,0,12.5991,2.264121,0,1.022444,0,35.36278
"usaipo1950-0454",02nov1948,04nov1952,26mar1950,31mar1950,"National Adults",1,"None",24,1458,28.79033,3.969479,.6944444,.3657979,1.198516,44.4428,0,.0085734,1.707057,12.44154,.182899,0,3.455076,0,2.743484,3.787164,6.006598,7.574329,3.003299,3.787164,3.83393,.3703704,0,0,.2314815,.462963,.3657979,0,0,0,10.90364,.2563223,6.023736,16.35546,5.45182,0,0,0,.622428,0,3.787164,6.006598,7.574329,3.003299,.0685871,3.787164,3.83393,0,0,.5126446,.5126446,10.90364,.2563223,6.023736,0,16.35546,5.45182,0,5.45182,0,0,.1371742,.622428,.3703704,0,0,0,0,0,2.839506,0,0,27.99249,.6944444,.0085734,.6858711,.0685871,.3703704,0,0,0,.1371742,.5486968,.622428,2.839506,.7292576,28.59999,0,0,16.35546,12.44154,0,5.162132,0,2.743484
"usaipo1950-0458",02nov1948,04nov1952,09jul1950,14jul1950,"National Adults",12,"None",24,1427,15.85192,2.225743,1.249379,.0238366,9.366406,43.90928,2.57923,.077469,.0357549,4.268994,0,0,5.710257,0,14.70174,.8940783,1.281217,3.28251,1.534687,6.11284,2.573773,.1838824,.0536324,0,.937034,.3123446,.0238366,0,0,0,8.684291,2.014603,.2196373,15.62216,6.105061,0,.0178775,.3570383,0,0,.8940783,1.281217,3.28251,1.534687,.1728154,6.11284,2.573773,1.788157,.8940783,5.70414,3.021905,8.684291,2.014603,.2196373,0,15.62216,6.105061,5.158459,6.105061,2.57923,0,0,0,.1838824,.0536324,0,0,0,0,1.988228,0,0,21.04358,1.249379,.1072647,.9800327,.1728154,.1838824,.0238366,0,0,0,.0238366,0,1.988228,0,26.98337,0,0,22.52704,4.268994,0,5.746012,0,14.70174
"usaipo1950-0460",02nov1948,04nov1952,20aug1950,25aug1950,"National Adults",12,"None",24,1328,13.19095,1.187914,.8126291,.0256543,12.63711,28.53527,1.251211,.2154957,.1539255,2.957447,0,0,4.732388,0,34.30001,.4572598,.6721414,4.771946,.7933306,4.760574,1.735693,.223192,.102617,0,.6094718,.2031573,.0256543,0,0,0,5.811266,1.702666,.2257574,12.92668,3.308844,.1128787,.0769628,.102617,.0649908,0,.4572598,.6721414,4.771946,.7933306,0,4.760574,1.735693,.4572598,.4572598,10.34237,8.513331,5.811266,1.702666,.2257574,0,12.92668,3.308844,1.251211,3.308844,1.251211,0,0,.0649908,.223192,.102617,0,0,0,0,.7971143,0,0,15.93451,.8126291,.205234,1.380223,0,.223192,0,.1128787,0,0,.0256543,.0649908,.7971143,0,26.67728,0,0,11.62253,2.957447,0,4.886313,0,34.30001
"usaipo1950-0461",02nov1948,04nov1952,17sep1950,22sep1950,"National Adults",12,"None",24,1247,22.38665,2.664155,.4881383,0,10.87256,26.89359,2.134033,.2057983,0,7.756405,0,0,4.350383,0,22.24829,.6366897,.2261623,9.124031,.7497708,8.016521,1.808671,.1230687,.1975937,0,.3661037,.1220346,0,0,0,0,5.533368,1.320212,.1928077,8.780467,3.399334,.0964039,0,.376665,.0885574,0,.6366897,.2261623,9.124031,.7497708,1.824806,8.016521,1.808671,1.273379,.6366897,8.511129,6.601061,5.533368,1.320212,.1928077,0,8.780467,3.399334,4.268066,3.399334,2.134033,0,0,.0885574,.1230687,.1975937,.1326408,0,0,0,1.597201,0,.5250933,24.38198,.4881383,.2632304,.4513586,1.824806,.1230687,0,.1401616,0,0,0,.2211982,1.597201,0,20.81898,0,0,15.3348,7.756405,0,4.350383,0,22.24829
"usaipo1951-0480",02nov1948,04nov1952,21sep1951,26sep1951,"National Adults",1,"None",22,1986,23.50201,1.056982,.2190332,.6596174,1.023834,56.97837,0,.1174891,2.767987,3.466468,.2198724,0,8.578462,0,1.409869,10.60507,.3222558,10.60507,.1611279,0,.387714,.2517623,0,0,.0730111,.1460222,.4397449,.2198724,0,0,18.6639,.5119168,.4747519,27.99585,9.331951,0,0,0,.2664485,0,10.60507,.3222558,10.60507,.1611279,.6210138,0,.387714,0,0,1.023834,1.023834,18.6639,.5119168,.4747519,0,27.99585,0,0,9.331951,0,0,0,.2664485,.2517623,0,0,0,0,0,.5387714,0,0,22.08123,.2190332,0,0,.6210138,.2517623,.1174891,0,0,0,.8794898,.2664485,.5387714,.799765,30.00636,0,0,27.99585,3.466468,0,11.34645,0,1.409869
"usaipo1952-0484",02nov1948,04nov1952,06jan1952,11jan1952,"National Adults",12.1,"None",22,1963,18.13181,2.766143,.6361256,.091793,7.909761,53.08882,0,0,0,9.605477,0,0,4.995201,0,2.774869,1.449392,.4958863,4.348175,0,9.790796,.5981675,0,0,0,.6361256,0,.0458965,.0458965,0,0,26.18828,.9517097,0,24.86027,0,0,0,0,0,0,1.449392,.4958863,4.348175,0,1.449392,9.790796,.5981675,1.088565,0,6.47465,1.031826,26.18828,.9517097,0,0,24.86027,0,1.088565,0,0,0,2.447145,0,0,0,0,0,0,0,.3189978,0,0,23.21381,.6361256,0,.346547,1.449392,0,0,0,0,0,.091793,2.447145,.3189978,0,26.84381,0,0,27.27684,9.605477,0,4.995201,0,2.774869
"usaipo1952-0489",02nov1948,04nov1952,27mar1952,01apr1952,"National Adults",12,"None",23,2055,20.37315,4.12334,.7832593,.106383,10.74561,50.3062,0,2.810966,0,7.344105,.035461,0,1.571195,0,1.800327,0,.642974,5.451137,0,11.9175,.8050814,0,.1489362,0,.5874444,.1958148,.070922,.035461,0,0,19.04614,.377796,.188898,27.28306,3.410304,0,0,0,0,0,0,.642974,5.451137,0,1.362784,11.9175,.8050814,0,1.84387,8.368661,.9931805,19.04614,.377796,.188898,0,27.28306,0,0,3.410304,0,0,3.353173,.0744681,0,.1489362,.0744681,0,0,0,.4722936,0,0,28.03604,.7832593,.1489362,.5330839,1.362784,0,.9369885,0,0,1.873977,.141844,1.628132,.4722936,.1936716,28.84293,0,0,22.45645,7.344105,1.873977,1.571195,0,1.800327
"usaipo1952-0494",02nov1948,04nov1952,15jun1952,20jun1952,"National Adults",1,"None",25,2031,23.84064,.5770038,.2463459,.5633109,5.317693,54.04001,0,.0434038,1.592176,10.0936,0,0,1.543767,0,2.142036,3.482338,.7179223,7.026458,.3589611,3.482338,4.808,.1675152,0,0,.1231729,.1231729,.5633109,0,0,0,7.528017,.9962239,0,32.93109,10.11332,0,0,1.458339,1.458339,0,3.482338,.7179223,7.026458,.3589611,3.482338,3.482338,4.808,.6013185,0,4.455952,2.49056,7.528017,.9962239,0,0,32.93109,0,2.471357,10.11332,0,0,.0627062,.1614365,.1675152,0,0,0,0,0,.1853459,0,0,22.44273,.2463459,0,.2604228,3.482338,.1675152,0,0,0,.0627062,.5633109,.1614365,.1853459,.5256948,36.41788,0,0,20.11269,10.0936,0,3.135944,0,2.142036
