year,cat,perc,subname,subcat,catname
1941,4,0,"Region","West","perc4"
1941,5,15.235,"Region","West","perc5"
1941,6,65.239998,"Region","West","perc6"
1941,7,0,"Region","West","perc7"
1941,8,0,"Region","West","perc8"
1941,9,.88800001,"Region","West","perc9"
1941,10,1.7,"Region","West","perc10"
1941,11,0,"Region","West","perc11"
1941,12,0,"Region","West","perc12"
1941,13,2.7639999,"Region","West","perc13"
1941,14,0,"Region","West","perc14"
1941,15,0,"Region","West","perc15"
1941,1,13.539,"Region","South","perc1"
1941,2,0,"Region","South","perc2"
1941,3,0,"Region","South","perc3"
1941,4,0,"Region","South","perc4"
1941,5,16.400999,"Region","South","perc5"
1941,6,63.549999,"Region","South","perc6"
1941,7,0,"Region","South","perc7"
1941,8,0,"Region","South","perc8"
1941,9,.648,"Region","South","perc9"
1941,10,2.628,"Region","South","perc10"
1941,11,0,"Region","South","perc11"
1941,12,0,"Region","South","perc12"
1941,13,3.234,"Region","South","perc13"
1941,14,0,"Region","South","perc14"
1941,15,0,"Region","South","perc15"
1941,1,12.989,"Region","Northeast","perc1"
1941,2,0,"Region","Northeast","perc2"
1941,3,0,"Region","Northeast","perc3"
1941,4,0,"Region","Northeast","perc4"
1941,5,12.646,"Region","Northeast","perc5"
1941,6,67.165001,"Region","Northeast","perc6"
1941,7,0,"Region","Northeast","perc7"
1941,8,0,"Region","Northeast","perc8"
1941,9,.97799999,"Region","Northeast","perc9"
1941,10,3.0079999,"Region","Northeast","perc10"
1941,11,0,"Region","Northeast","perc11"
1941,12,0,"Region","Northeast","perc12"
1941,13,3.2149999,"Region","Northeast","perc13"
1941,14,0,"Region","Northeast","perc14"
1941,15,0,"Region","Northeast","perc15"
1942,1,24.146,"Region","Midwest","perc1"
1942,2,6.9749999,"Region","Midwest","perc2"
1942,3,.97600001,"Region","Midwest","perc3"
1942,4,0,"Region","Midwest","perc4"
1942,5,7.3140001,"Region","Midwest","perc5"
1942,6,27.539,"Region","Midwest","perc6"
1942,7,0,"Region","Midwest","perc7"
1942,8,0,"Region","Midwest","perc8"
1942,9,0,"Region","Midwest","perc9"
1942,10,6.7280002,"Region","Midwest","perc10"
1942,11,0,"Region","Midwest","perc11"
1942,12,0,"Region","Midwest","perc12"
1942,13,15.973,"Region","Midwest","perc13"
1942,14,0,"Region","Midwest","perc14"
1942,15,10.348,"Region","Midwest","perc15"
1942,1,27.915001,"Region","West","perc1"
1942,2,8.1599998,"Region","West","perc2"
1942,3,.96700001,"Region","West","perc3"
1942,4,0,"Region","West","perc4"
1942,5,9.2559996,"Region","West","perc5"
1942,6,26.731001,"Region","West","perc6"
1942,7,0,"Region","West","perc7"
1942,8,0,"Region","West","perc8"
1942,9,0,"Region","West","perc9"
1942,10,4.5809999,"Region","West","perc10"
1942,11,0,"Region","West","perc11"
1942,12,0,"Region","West","perc12"
1942,13,13.014,"Region","West","perc13"
1942,14,0,"Region","West","perc14"
1942,15,9.375,"Region","West","perc15"
1942,1,19.728001,"Region","South","perc1"
1942,2,5.112,"Region","South","perc2"
1942,3,1.545,"Region","South","perc3"
1942,4,0,"Region","South","perc4"
1942,5,9.6750002,"Region","South","perc5"
1942,6,24.570999,"Region","South","perc6"
1942,7,0,"Region","South","perc7"
1942,8,0,"Region","South","perc8"
1942,9,0,"Region","South","perc9"
1942,10,4.7729998,"Region","South","perc10"
1942,11,0,"Region","South","perc11"
1942,12,0,"Region","South","perc12"
1942,13,18.333,"Region","South","perc13"
1942,14,0,"Region","South","perc14"
1942,15,16.261999,"Region","South","perc15"
1942,1,22.955999,"Region","Northeast","perc1"
1942,2,9.9250002,"Region","Northeast","perc2"
1942,3,1.523,"Region","Northeast","perc3"
1942,4,0,"Region","Northeast","perc4"
1942,5,6.2810001,"Region","Northeast","perc5"
1942,6,27.438999,"Region","Northeast","perc6"
1942,7,0,"Region","Northeast","perc7"
1942,8,0,"Region","Northeast","perc8"
1942,9,0,"Region","Northeast","perc9"
1942,10,5.165,"Region","Northeast","perc10"
1942,11,0,"Region","Northeast","perc11"
1942,12,0,"Region","Northeast","perc12"
1942,13,16.591999,"Region","Northeast","perc13"
1942,14,0,"Region","Northeast","perc14"
1942,15,10.12,"Region","Northeast","perc15"
1943,1,32.663334,"Region","Midwest","perc1"
1943,2,7.7273334,"Region","Midwest","perc2"
1943,3,1.5046667,"Region","Midwest","perc3"
1943,4,.047,"Region","Midwest","perc4"
1943,5,5.8883334,"Region","Midwest","perc5"
1943,6,26.554,"Region","Midwest","perc6"
1943,7,.85633334,"Region","Midwest","perc7"
1943,8,0,"Region","Midwest","perc8"
1943,9,.56633333,"Region","Midwest","perc9"
1943,10,5.0183334,"Region","Midwest","perc10"
1943,11,.48033333,"Region","Midwest","perc11"
1943,12,0,"Region","Midwest","perc12"
1943,13,11.700666,"Region","Midwest","perc13"
1943,14,.094,"Region","Midwest","perc14"
1943,15,6.8986664,"Region","Midwest","perc15"
1943,1,35.006001,"Region","West","perc1"
1943,2,8.6393331,"Region","West","perc2"
1943,3,1.5413334,"Region","West","perc3"
1943,4,.16133333,"Region","West","perc4"
1943,5,7.037333,"Region","West","perc5"
1943,6,25.697001,"Region","West","perc6"
1943,7,.85966667,"Region","West","perc7"
1943,8,0,"Region","West","perc8"
1943,9,.62333333,"Region","West","perc9"
1943,10,3.5459999,"Region","West","perc10"
1943,11,.50766667,"Region","West","perc11"
1943,12,0,"Region","West","perc12"
1943,13,10.081667,"Region","West","perc13"
1943,14,.04866667,"Region","West","perc14"
1943,15,6.25,"Region","West","perc15"
1943,1,29.640334,"Region","South","perc1"
1943,2,6.6459999,"Region","South","perc2"
1943,3,1.7866666,"Region","South","perc3"
1943,4,.11533333,"Region","South","perc4"
1943,5,8.1090002,"Region","South","perc5"
1943,6,23.723666,"Region","South","perc6"
1943,7,.63399998,"Region","South","perc7"
1943,8,0,"Region","South","perc8"
1943,9,.92333333,"Region","South","perc9"
1943,10,3.5893332,"Region","South","perc10"
1943,11,.37366668,"Region","South","perc11"
1943,12,0,"Region","South","perc12"
1943,13,13.493333,"Region","South","perc13"
1943,14,.12266667,"Region","South","perc14"
1943,15,10.841333,"Region","South","perc15"
1943,1,32.355,"Region","Northeast","perc1"
1943,2,10.136333,"Region","Northeast","perc2"
1943,3,1.7433333,"Region","Northeast","perc3"
1943,4,.031,"Region","Northeast","perc4"
1943,5,5.0850001,"Region","Northeast","perc5"
1943,6,26.409666,"Region","Northeast","perc6"
1943,7,.82066663,"Region","Northeast","perc7"
1943,8,0,"Region","Northeast","perc8"
1943,9,.25566667,"Region","Northeast","perc9"
1943,10,3.8606666,"Region","Northeast","perc10"
1943,11,.37033331,"Region","Northeast","perc11"
1943,12,0,"Region","Northeast","perc12"
1943,13,12.035999,"Region","Northeast","perc13"
1943,14,.15066666,"Region","Northeast","perc14"
1943,15,6.7466666,"Region","Northeast","perc15"
1944,1,41.180668,"Region","Midwest","perc1"
1944,2,8.4796669,"Region","Midwest","perc2"
1944,3,2.0333334,"Region","Midwest","perc3"
1944,4,.094,"Region","Midwest","perc4"
1944,5,4.4626667,"Region","Midwest","perc5"
1944,6,25.569,"Region","Midwest","perc6"
1944,7,1.7126667,"Region","Midwest","perc7"
1944,8,0,"Region","Midwest","perc8"
1944,9,1.1326667,"Region","Midwest","perc9"
1944,10,3.3086667,"Region","Midwest","perc10"
1944,11,.96066666,"Region","Midwest","perc11"
1944,12,0,"Region","Midwest","perc12"
1944,13,7.4283331,"Region","Midwest","perc13"
1944,14,.188,"Region","Midwest","perc14"
1944,15,3.4493332,"Region","Midwest","perc15"
1944,1,42.097,"Region","West","perc1"
1944,2,9.1186663,"Region","West","perc2"
1944,3,2.1156667,"Region","West","perc3"
1944,4,.32266666,"Region","West","perc4"
1944,5,4.8186665,"Region","West","perc5"
1944,6,24.663,"Region","West","perc6"
1944,7,1.7193333,"Region","West","perc7"
1944,8,0,"Region","West","perc8"
1944,9,1.2466667,"Region","West","perc9"
1944,10,2.5109999,"Region","West","perc10"
1944,11,1.0153333,"Region","West","perc11"
1944,12,0,"Region","West","perc12"
1944,13,7.1493333,"Region","West","perc13"
1944,14,.09733333,"Region","West","perc14"
1944,15,3.125,"Region","West","perc15"
1944,1,39.552667,"Region","South","perc1"
1944,2,8.1799998,"Region","South","perc2"
1944,3,2.0283333,"Region","South","perc3"
1944,4,.23066666,"Region","South","perc4"
1944,5,6.5430002,"Region","South","perc5"
1944,6,22.876333,"Region","South","perc6"
1944,7,1.268,"Region","South","perc7"
1944,8,0,"Region","South","perc8"
1944,9,1.8466667,"Region","South","perc9"
1944,10,2.4056666,"Region","South","perc10"
1944,11,.74733337,"Region","South","perc11"
1944,12,0,"Region","South","perc12"
1944,13,8.6536667,"Region","South","perc13"
1944,14,.24533333,"Region","South","perc14"
1944,15,5.4206664,"Region","South","perc15"
1944,1,41.754,"Region","Northeast","perc1"
1944,2,10.347667,"Region","Northeast","perc2"
1944,3,1.9636667,"Region","Northeast","perc3"
1944,4,.062,"Region","Northeast","perc4"
1944,5,3.8890001,"Region","Northeast","perc5"
1944,6,25.380333,"Region","Northeast","perc6"
1944,7,1.6413333,"Region","Northeast","perc7"
1944,8,0,"Region","Northeast","perc8"
1944,9,.51133335,"Region","Northeast","perc9"
1944,10,2.5563333,"Region","Northeast","perc10"
1944,11,.74066663,"Region","Northeast","perc11"
1944,12,0,"Region","Northeast","perc12"
1944,13,7.4799997,"Region","Northeast","perc13"
1944,14,.30133333,"Region","Northeast","perc14"
1944,15,3.3733333,"Region","Northeast","perc15"
1945,1,49.698002,"Region","Midwest","perc1"
1945,2,9.2320004,"Region","Midwest","perc2"
1945,3,2.562,"Region","Midwest","perc3"
1945,4,.141,"Region","Midwest","perc4"
1945,5,3.0369999,"Region","Midwest","perc5"
1945,6,24.584,"Region","Midwest","perc6"
1945,7,2.569,"Region","Midwest","perc7"
1945,8,0,"Region","Midwest","perc8"
1945,9,1.699,"Region","Midwest","perc9"
1945,10,1.599,"Region","Midwest","perc10"
1945,11,1.441,"Region","Midwest","perc11"
1945,12,0,"Region","Midwest","perc12"
1945,13,3.1559999,"Region","Midwest","perc13"
1945,14,.28200001,"Region","Midwest","perc14"
1945,15,0,"Region","Midwest","perc15"
1945,1,49.188,"Region","West","perc1"
1945,2,9.5979996,"Region","West","perc2"
1945,3,2.6900001,"Region","West","perc3"
1945,4,.484,"Region","West","perc4"
1945,5,2.5999999,"Region","West","perc5"
1945,6,23.629,"Region","West","perc6"
1945,7,2.579,"Region","West","perc7"
1945,8,0,"Region","West","perc8"
1945,9,1.87,"Region","West","perc9"
1945,10,1.476,"Region","West","perc10"
1945,11,1.523,"Region","West","perc11"
1945,12,0,"Region","West","perc12"
1945,13,4.217,"Region","West","perc13"
1945,14,.146,"Region","West","perc14"
1945,15,0,"Region","West","perc15"
1945,1,49.465,"Region","South","perc1"
1945,2,9.7139997,"Region","South","perc2"
1945,3,2.27,"Region","South","perc3"
1945,4,.34599999,"Region","South","perc4"
1945,5,4.9770002,"Region","South","perc5"
1945,6,22.028999,"Region","South","perc6"
1945,7,1.902,"Region","South","perc7"
1945,8,0,"Region","South","perc8"
1945,9,2.77,"Region","South","perc9"
1945,10,1.222,"Region","South","perc10"
1945,11,1.1210001,"Region","South","perc11"
1945,12,0,"Region","South","perc12"
1945,13,3.8139999,"Region","South","perc13"
1945,14,.368,"Region","South","perc14"
1945,15,0,"Region","South","perc15"
1945,1,51.153,"Region","Northeast","perc1"
1945,2,10.559,"Region","Northeast","perc2"
1945,3,2.184,"Region","Northeast","perc3"
1945,4,.093,"Region","Northeast","perc4"
1945,5,2.6930001,"Region","Northeast","perc5"
1945,6,24.351,"Region","Northeast","perc6"
1945,7,2.4619999,"Region","Northeast","perc7"
1945,8,0,"Region","Northeast","perc8"
1945,9,.76700002,"Region","Northeast","perc9"
1945,10,1.252,"Region","Northeast","perc10"
1945,11,1.1109999,"Region","Northeast","perc11"
1945,12,0,"Region","Northeast","perc12"
1945,13,2.924,"Region","Northeast","perc13"
1945,14,.45199999,"Region","Northeast","perc14"
1945,15,0,"Region","Northeast","perc15"
1946,1,58.84,"Region","Midwest","perc1"
1946,2,7.1589999,"Region","Midwest","perc2"
1946,3,.038,"Region","Midwest","perc3"
1946,4,0,"Region","Midwest","perc4"
1946,5,9.2440004,"Region","Midwest","perc5"
1946,6,15.16,"Region","Midwest","perc6"
1946,7,3.2969999,"Region","Midwest","perc7"
1946,8,.255,"Region","Midwest","perc8"
1946,9,.038,"Region","Midwest","perc9"
1946,10,.024,"Region","Midwest","perc10"
1946,11,0,"Region","Midwest","perc11"
1946,12,0,"Region","Midwest","perc12"
1946,13,5.7909999,"Region","Midwest","perc13"
1946,14,.153,"Region","Midwest","perc14"
1946,15,0,"Region","Midwest","perc15"
1946,1,54.167,"Region","West","perc1"
1946,2,7.073,"Region","West","perc2"
1946,3,.037,"Region","West","perc3"
1946,4,0,"Region","West","perc4"
1946,5,9.4259996,"Region","West","perc5"
1946,6,19.708,"Region","West","perc6"
1946,7,2.681,"Region","West","perc7"
1946,8,.51999998,"Region","West","perc8"
1946,9,0,"Region","West","perc9"
1946,10,.138,"Region","West","perc10"
1946,11,.021,"Region","West","perc11"
1946,12,0,"Region","West","perc12"
1946,13,6.2309999,"Region","West","perc13"
1946,14,0,"Region","West","perc14"
1946,15,0,"Region","West","perc15"
1946,1,55.216999,"Region","South","perc1"
1946,2,4.4380002,"Region","South","perc2"
1946,3,.041,"Region","South","perc3"
1946,4,0,"Region","South","perc4"
1946,5,14.34,"Region","South","perc5"
1946,6,15.762,"Region","South","perc6"
1946,7,3.0510001,"Region","South","perc7"
1946,8,.52399999,"Region","South","perc8"
1946,9,0,"Region","South","perc9"
1946,10,0,"Region","South","perc10"
1946,11,0,"Region","South","perc11"
1946,12,0,"Region","South","perc12"
1946,13,6.6269999,"Region","South","perc13"
1946,14,0,"Region","South","perc14"
1946,15,0,"Region","South","perc15"
1946,1,55.164001,"Region","Northeast","perc1"
1946,2,7.8390002,"Region","Northeast","perc2"
1946,3,.071,"Region","Northeast","perc3"
1946,4,0,"Region","Northeast","perc4"
1946,5,11.735,"Region","Northeast","perc5"
1946,6,16.030001,"Region","Northeast","perc6"
1946,7,2.8529999,"Region","Northeast","perc7"
1946,8,.35499999,"Region","Northeast","perc8"
1946,9,.025,"Region","Northeast","perc9"
1946,10,.07,"Region","Northeast","perc10"
1946,11,0,"Region","Northeast","perc11"
1946,12,0,"Region","Northeast","perc12"
1946,13,5.8569999,"Region","Northeast","perc13"
1946,14,0,"Region","Northeast","perc14"
1946,15,0,"Region","Northeast","perc15"
1947,1,25.473,"Region","Midwest","perc1"
1947,2,11.559,"Region","Midwest","perc2"
1947,3,.035,"Region","Midwest","perc3"
1947,4,.215,"Region","Midwest","perc4"
1947,5,3.3310001,"Region","Midwest","perc5"
1947,6,35.062,"Region","Midwest","perc6"
1947,7,.57800001,"Region","Midwest","perc7"
1947,8,3.372,"Region","Midwest","perc8"
1947,9,.055,"Region","Midwest","perc9"
1947,10,1.2079999,"Region","Midwest","perc10"
1947,11,.021,"Region","Midwest","perc11"
1947,12,0,"Region","Midwest","perc12"
1947,13,8.1149998,"Region","Midwest","perc13"
1947,14,0,"Region","Midwest","perc14"
1947,15,10.975,"Region","Midwest","perc15"
1947,1,25.287001,"Region","West","perc1"
1947,2,10.531,"Region","West","perc2"
1947,3,0,"Region","West","perc3"
1947,4,.25799999,"Region","West","perc4"
1947,5,3.678,"Region","West","perc5"
1947,6,35.257999,"Region","West","perc6"
1947,7,.89899999,"Region","West","perc7"
1947,8,3.3369999,"Region","West","perc8"
1947,9,0,"Region","West","perc9"
1947,10,2.165,"Region","West","perc10"
1947,11,0,"Region","West","perc11"
1947,12,0,"Region","West","perc12"
1947,13,7.4000001,"Region","West","perc13"
1947,14,0,"Region","West","perc14"
1947,15,11.186,"Region","West","perc15"
1947,1,26.950001,"Region","South","perc1"
1947,2,8.2880001,"Region","South","perc2"
1947,3,0,"Region","South","perc3"
1947,4,.45699999,"Region","South","perc4"
1947,5,4.316,"Region","South","perc5"
1947,6,34.519001,"Region","South","perc6"
1947,7,.514,"Region","South","perc7"
1947,8,3.1889999,"Region","South","perc8"
1947,9,.163,"Region","South","perc9"
1947,10,.96600002,"Region","South","perc10"
1947,11,0,"Region","South","perc11"
1947,12,0,"Region","South","perc12"
1947,13,7.3649998,"Region","South","perc13"
1947,14,0,"Region","South","perc14"
1947,15,13.273,"Region","South","perc15"
1947,1,26.431,"Region","Northeast","perc1"
1947,2,13.348,"Region","Northeast","perc2"
1947,3,.012,"Region","Northeast","perc3"
1947,4,.38,"Region","Northeast","perc4"
1947,5,3.263,"Region","Northeast","perc5"
1947,6,33.070999,"Region","Northeast","perc6"
1947,7,.456,"Region","Northeast","perc7"
1947,8,3.372,"Region","Northeast","perc8"
1947,9,0,"Region","Northeast","perc9"
1947,10,1.087,"Region","Northeast","perc10"
1947,11,0,"Region","Northeast","perc11"
1947,12,0,"Region","Northeast","perc12"
1947,13,7.408,"Region","Northeast","perc13"
1947,14,0,"Region","Northeast","perc14"
1947,15,11.171,"Region","Northeast","perc15"
1948,1,20.344999,"Region","Midwest","perc1"
1948,2,5.178,"Region","Midwest","perc2"
1948,3,1.659,"Region","Midwest","perc3"
1948,4,.096,"Region","Midwest","perc4"
1948,5,1.726,"Region","Midwest","perc5"
1948,6,58.528999,"Region","Midwest","perc6"
1948,7,.47799999,"Region","Midwest","perc7"
1948,8,.12,"Region","Midwest","perc8"
1948,9,0,"Region","Midwest","perc9"
1948,10,8.816,"Region","Midwest","perc10"
1948,11,0,"Region","Midwest","perc11"
1948,12,0,"Region","Midwest","perc12"
1948,13,3.053,"Region","Midwest","perc13"
1948,14,0,"Region","Midwest","perc14"
1948,15,0,"Region","Midwest","perc15"
1948,1,17.77,"Region","West","perc1"
1948,2,6.6999998,"Region","West","perc2"
1948,3,1.757,"Region","West","perc3"
1948,4,.121,"Region","West","perc4"
1948,5,1.5470001,"Region","West","perc5"
1948,6,59.891998,"Region","West","perc6"
1948,7,1.119,"Region","West","perc7"
1948,8,.15099999,"Region","West","perc8"
1948,9,0,"Region","West","perc9"
1948,10,7.6609998,"Region","West","perc10"
1948,11,0,"Region","West","perc11"
1948,12,0,"Region","West","perc12"
1948,13,3.28,"Region","West","perc13"
1948,14,0,"Region","West","perc14"
1948,15,0,"Region","West","perc15"
1948,1,20.617001,"Region","South","perc1"
1948,2,3.395,"Region","South","perc2"
1948,3,1.485,"Region","South","perc3"
1948,4,.091,"Region","South","perc4"
1948,5,1.6390001,"Region","South","perc5"
1948,6,61.983002,"Region","South","perc6"
1948,7,.36199999,"Region","South","perc7"
1948,8,.114,"Region","South","perc8"
1948,9,0,"Region","South","perc9"
1948,10,7.191,"Region","South","perc10"
1948,11,0,"Region","South","perc11"
1948,12,0,"Region","South","perc12"
1948,13,3.1229999,"Region","South","perc13"
1948,14,0,"Region","South","perc14"
1948,15,0,"Region","South","perc15"
1948,1,22.392,"Region","Northeast","perc1"
1948,2,5.6880002,"Region","Northeast","perc2"
1948,3,1.409,"Region","Northeast","perc3"
1948,4,.169,"Region","Northeast","perc4"
1948,5,2.1489999,"Region","Northeast","perc5"
1948,6,56.431999,"Region","Northeast","perc6"
1948,7,.97799999,"Region","Northeast","perc7"
1948,8,.105,"Region","Northeast","perc8"
1948,9,0,"Region","Northeast","perc9"
1948,10,8.4709997,"Region","Northeast","perc10"
1948,11,0,"Region","Northeast","perc11"
1948,12,0,"Region","Northeast","perc12"
1948,13,2.207,"Region","Northeast","perc13"
1948,14,0,"Region","Northeast","perc14"
1948,15,0,"Region","Northeast","perc15"
1949,1,27.441,"Region","Midwest","perc1"
1949,2,6.7449999,"Region","Midwest","perc2"
1949,3,.71899998,"Region","Midwest","perc3"
1949,4,.106,"Region","Midwest","perc4"
1949,5,3.8269999,"Region","Midwest","perc5"
1949,6,27.674999,"Region","Midwest","perc6"
1949,7,.78899997,"Region","Midwest","perc7"
1949,8,.92000002,"Region","Midwest","perc8"
1949,9,1.209,"Region","Midwest","perc9"
1949,10,1.7359999,"Region","Midwest","perc10"
1949,11,.405,"Region","Midwest","perc11"
1949,12,0,"Region","Midwest","perc12"
1949,13,4.2459998,"Region","Midwest","perc13"
1949,14,0,"Region","Midwest","perc14"
1949,15,24.181999,"Region","Midwest","perc15"
1949,1,27.038,"Region","West","perc1"
1949,2,5.553,"Region","West","perc2"
1949,3,.70700002,"Region","West","perc3"
1949,4,.169,"Region","West","perc4"
1949,5,3.3610001,"Region","West","perc5"
1949,6,28.657,"Region","West","perc6"
1949,7,.92199999,"Region","West","perc7"
1949,8,2.039,"Region","West","perc8"
1949,9,1.201,"Region","West","perc9"
1949,10,1.9,"Region","West","perc10"
1949,11,.27700001,"Region","West","perc11"
1949,12,0,"Region","West","perc12"
1949,13,4.164,"Region","West","perc13"
1949,14,0,"Region","West","perc14"
1949,15,24.011999,"Region","West","perc15"
1949,1,26.27,"Region","South","perc1"
1949,2,3.7219999,"Region","South","perc2"
1949,3,3.029,"Region","South","perc3"
1949,4,.066,"Region","South","perc4"
1949,5,3.78,"Region","South","perc5"
1949,6,26.166,"Region","South","perc6"
1949,7,.55699998,"Region","South","perc7"
1949,8,.92000002,"Region","South","perc8"
1949,9,2.073,"Region","South","perc9"
1949,10,1.913,"Region","South","perc10"
1949,11,.154,"Region","South","perc11"
1949,12,0,"Region","South","perc12"
1949,13,4.5489998,"Region","South","perc13"
1949,14,0,"Region","South","perc14"
1949,15,26.801001,"Region","South","perc15"
1949,1,30.580999,"Region","Northeast","perc1"
1949,2,9.599,"Region","Northeast","perc2"
1949,3,1.124,"Region","Northeast","perc3"
1949,4,.06,"Region","Northeast","perc4"
1949,5,1.812,"Region","Northeast","perc5"
1949,6,25.924,"Region","Northeast","perc6"
