ccode,govtseq,minister_id,name,gender,birthyear,portfolio,party,marpor,mstart_day,mstart_month,mstart_year,mts_start,mend_day,mend_month,mend_year,mts_end,died
"USA",26,759,"Cisneros","Male",1947,"Secretary of Housing and Urban Development","DEM",61320,21,1,1993,21jan1993,19,1,1995,19jan1995,0
"USA",26,3515,"Reich","Male",1946,"Secretary of Labor","DEM",61320,21,1,1993,21jan1993,19,1,1995,19jan1995,0
"USA",26,740,"Christopher","Male",1925,"Secretary of State","DEM",61320,20,1,1993,20jan1993,19,1,1995,19jan1995,0
"USA",26,3266,"Pena","Male",1947,"Secretary of Transportation","DEM",61320,21,1,1993,21jan1993,19,1,1995,19jan1995,0
"USA",26,564,"Brown","Male",1944,"Secretary of Veterans Affairs","DEM",61320,21,1,1993,21jan1993,19,1,1995,19jan1995,0
"USA",26,209,"Babbitt","Male",1938,"Secretary of the Interior","DEM",61320,21,1,1993,21jan1993,19,1,1995,19jan1995,0
"USA",26,345,"Bentsen","Male",1921,"Secretary of the Treasury","DEM",61320,20,1,1993,20jan1993,6,12,1994,06dec1994,0
"USA",26,3639,"Rubin","Male",1938,"Secretary of the Treasury","DEM",61320,10,1,1995,10jan1995,19,1,1995,19jan1995,0
"USA",26,2006,"Kantor","Male",1939,"United States Trade Representative","DEM",61320,21,1,1994,21jan1994,19,1,1995,19jan1995,0
"USA",26,1469,"Gore","Male",1948,"Vice President of the United States","DEM",61320,20,1,1993,20jan1993,19,1,1995,19jan1995,0
"USA",27,3531,"Reno","Female",1938,"Attorney General","DEM",61320,20,1,1995,20jan1995,19,1,1997,19jan1997,0
"USA",27,3473,"Raines","Male",1949,"Director of Office of Management and Budget","DEM",61320,6,9,1996,06sep1996,19,1,1997,19jan1997,0
"USA",27,3577,"Rivlin","Female",1931,"Director of Office of Management and Budget","DEM",61320,20,1,1995,20jan1995,26,4,1996,26apr1996,0
"USA",27,775,"Clinton","Male",1946,"President of the United States","DEM",61320,20,1,1995,20jan1995,19,1,1997,19jan1997,0
"USA",27,1439,"Glickman","Male",1944,"Secretary of Agriculture","DEM",61320,25,3,1995,25mar1995,19,1,1997,19jan1997,0
"USA",27,563,"Brown","Male",1941,"Secretary of Commerce","DEM",61320,20,1,1995,20jan1995,3,4,1996,03apr1996,0
"USA",27,3290,"Perry","Male",1927,"Secretary of Defense","DEM",61320,20,1,1995,20jan1995,7,11,1996,07nov1996,0
"USA",27,3568,"Riley","Male",1933,"Secretary of Education","DEM",61320,20,1,1995,20jan1995,19,1,1997,19jan1997,0
"USA",27,3033,"O'Leary","Female",1937,"Secretary of Energy","DEM",61320,20,1,1995,20jan1995,7,11,1996,07nov1996,0
"USA",27,3819,"Shalala","Female",1941,"Secretary of Health and Human Services","DEM",61320,20,1,1995,20jan1995,19,1,1997,19jan1997,0
"USA",27,759,"Cisneros","Male",1947,"Secretary of Housing and Urban Development","DEM",61320,20,1,1995,20jan1995,21,11,1996,21nov1996,0
"USA",27,3515,"Reich","Male",1946,"Secretary of Labor","DEM",61320,20,1,1995,20jan1995,7,11,1996,07nov1996,0
"USA",27,740,"Christopher","Male",1925,"Secretary of State","DEM",61320,20,1,1995,20jan1995,7,11,1996,07nov1996,0
"USA",27,3266,"Pena","Male",1947,"Secretary of Transportation","DEM",61320,20,1,1995,20jan1995,12,12,1996,12dec1996,0
"USA",27,564,"Brown","Male",1944,"Secretary of Veterans Affairs","DEM",61320,20,1,1995,20jan1995,19,1,1997,19jan1997,0
"USA",27,209,"Babbitt","Male",1938,"Secretary of the Interior","DEM",61320,20,1,1995,20jan1995,19,1,1997,19jan1997,0
"USA",27,3639,"Rubin","Male",1938,"Secretary of the Treasury","DEM",61320,20,1,1995,20jan1995,19,1,1997,19jan1997,0
"USA",27,2006,"Kantor","Male",1939,"United States Trade Representative","DEM",61320,20,1,1995,20jan1995,12,4,1996,12apr1996,0
"USA",27,1469,"Gore","Male",1948,"Vice President of the United States","DEM",61320,20,1,1995,20jan1995,19,1,1997,19jan1997,0
"USA",28,3531,"Reno","Female",1938,"Attorney General","DEM",61320,20,1,1997,20jan1997,19,1,1999,19jan1999,0
"USA",28,3473,"Raines","Male",1949,"Director of Office of Management and Budget","DEM",61320,20,1,1997,20jan1997,14,4,1998,14apr1998,0
"USA",28,2380,"Lew","Male",1955,"Director of Office of Management and Budget","DEM",61320,31,7,1998,31jul1998,19,1,1999,19jan1999,0
"USA",28,775,"Clinton","Male",1946,"President of the United States","DEM",61320,20,1,1997,20jan1997,19,1,1999,19jan1999,0
"USA",28,1439,"Glickman","Male",1944,"Secretary of Agriculture","DEM",61320,20,1,1997,20jan1997,19,1,1999,19jan1999,0
"USA",28,913,"Daley","Male",1948,"Secretary of Commerce","DEM",61320,30,1,1997,30jan1997,19,1,1999,19jan1999,0
"USA",28,787,"Cohen","Male",1940,"Secretary of Defense","REP",61620,22,1,1997,22jan1997,19,1,1999,19jan1999,0
"USA",28,3568,"Riley","Male",1933,"Secretary of Education","DEM",61320,20,1,1997,20jan1997,19,1,1999,19jan1999,0
"USA",28,3266,"Pena","Male",1947,"Secretary of Energy","DEM",61320,6,2,1997,06feb1997,4,6,1998,04jun1998,0
"USA",28,3550,"Richardson","Male",1947,"Secretary of Energy","DEM",61320,31,7,1998,31jul1998,19,1,1999,19jan1999,0
"USA",28,3819,"Shalala","Female",1941,"Secretary of Health and Human Services","DEM",61320,20,1,1997,20jan1997,19,1,1999,19jan1999,0
"USA",28,890,"Cuomo","Male",1968,"Secretary of Housing and Urban Development","DEM",61320,29,1,1997,29jan1997,19,1,1999,19jan1999,0
"USA",28,1677,"Herman","Female",1947,"Secretary of Labor","DEM",61320,30,4,1997,30apr1997,19,1,1999,19jan1999,0
"USA",28,52,"Albright","Female",1937,"Secretary of State","DEM",61320,22,1,1997,22jan1997,19,1,1999,19jan1999,0
"USA",28,3911,"Slater","Male",1955,"Secretary of Transportation","DEM",61320,6,2,1997,06feb1997,19,1,1999,19jan1999,0
"USA",28,4482,"West","Male",1942,"Secretary of Veterans Affairs","DEM",61320,28,4,1998,28apr1998,19,1,1999,19jan1999,0
"USA",28,564,"Brown","Male",1944,"Secretary of Veterans Affairs","DEM",61320,20,1,1997,20jan1997,1,7,1997,01jul1997,0
"USA",28,209,"Babbitt","Male",1938,"Secretary of the Interior","DEM",61320,20,1,1997,20jan1997,19,1,1999,19jan1999,0
"USA",28,3639,"Rubin","Male",1938,"Secretary of the Treasury","DEM",61320,20,1,1997,20jan1997,19,1,1999,19jan1999,0
"USA",28,280,"Barshefsky","Female",1950,"United States Trade Representative","DEM",61320,5,3,1997,05mar1997,19,1,1999,19jan1999,0
"USA",28,1469,"Gore","Male",1948,"Vice President of the United States","DEM",61320,20,1,1997,20jan1997,19,1,1999,19jan1999,0
"USA",29,3531,"Reno","Female",1938,"Attorney General","DEM",61320,20,1,1999,20jan1999,19,1,2001,19jan2001,0
"USA",29,2380,"Lew","Male",1955,"Director of Office of Management and Budget","DEM",61320,20,1,1999,20jan1999,19,1,2001,19jan2001,0
"USA",29,775,"Clinton","Male",1946,"President of the United States","DEM",61320,20,1,1999,20jan1999,19,1,2001,19jan2001,0
"USA",29,1439,"Glickman","Male",1944,"Secretary of Agriculture","DEM",61320,20,1,1999,20jan1999,19,1,2001,19jan2001,0
"USA",29,913,"Daley","Male",1948,"Secretary of Commerce","DEM",61320,20,1,1999,20jan1999,19,6,2000,19jun2000,0
"USA",29,2762,"Mineta","Male",1931,"Secretary of Commerce","DEM",61320,21,7,2000,21jul2000,19,1,2001,19jan2001,0
"USA",29,787,"Cohen","Male",1940,"Secretary of Defense","REP",61620,20,1,1999,20jan1999,19,1,2001,19jan2001,0
"USA",29,3568,"Riley","Male",1933,"Secretary of Education","DEM",61320,20,1,1999,20jan1999,19,1,2001,19jan2001,0
"USA",29,3550,"Richardson","Male",1947,"Secretary of Energy","DEM",61320,20,1,1999,20jan1999,19,1,2001,19jan2001,0
"USA",29,3819,"Shalala","Female",1941,"Secretary of Health and Human Services","DEM",61320,20,1,1999,20jan1999,19,1,2001,19jan2001,0
"USA",29,890,"Cuomo","Male",1968,"Secretary of Housing and Urban Development","DEM",61320,20,1,1999,20jan1999,19,1,2001,19jan2001,0
"USA",29,1677,"Herman","Female",1947,"Secretary of Labor","DEM",61320,20,1,1999,20jan1999,19,1,2001,19jan2001,0
"USA",29,52,"Albright","Female",1937,"Secretary of State","DEM",61320,20,1,1999,20jan1999,19,1,2001,19jan2001,0
"USA",29,3911,"Slater","Male",1955,"Secretary of Transportation","DEM",61320,20,1,1999,20jan1999,19,1,2001,19jan2001,0
"USA",29,4482,"West","Male",1942,"Secretary of Veterans Affairs","DEM",61320,20,1,1999,20jan1999,10,7,2000,10jul2000,0
"USA",29,209,"Babbitt","Male",1938,"Secretary of the Interior","DEM",61320,20,1,1999,20jan1999,19,1,2001,19jan2001,0
"USA",29,4073,"Summers","Male",1954,"Secretary of the Treasury","DEM",61320,1,7,1999,01jul1999,19,1,2001,19jan2001,0
"USA",29,3639,"Rubin","Male",1938,"Secretary of the Treasury","DEM",61320,20,1,1999,20jan1999,12,5,1999,12may1999,0
"USA",29,280,"Barshefsky","Female",1950,"United States Trade Representative","DEM",61320,20,1,1999,20jan1999,19,1,2001,19jan2001,0
"USA",29,1469,"Gore","Male",1948,"Vice President of the United States","DEM",61320,20,1,1999,20jan1999,19,1,2001,19jan2001,0
"USA",30,168,"Ashcroft","Male",1942,"Attorney General","REP",61620,1,2,2001,01feb2001,19,1,2003,19jan2003,0
"USA",30,922,"Daniels","Male",1949,"Director of Office of Management and Budget","REP",61620,23,1,2001,23jan2001,19,1,2003,19jan2003,0
"USA",30,608,"Bush","Male",1946,"President of the United States","REP",61620,20,1,2001,20jan2001,19,1,2003,19jan2003,0
"USA",30,4379,"Veneman","Female",1949,"Secretary of Agriculture","REP",61620,20,1,2001,20jan2001,19,1,2003,19jan2003,0
"USA",30,1175,"Evans","Male",1946,"Secretary of Commerce","REP",61620,20,1,2001,20jan2001,19,1,2003,19jan2003,0
"USA",30,3650,"Rumsfeld","Male",1932,"Secretary of Defense","REP",61620,20,1,2001,20jan2001,19,1,2003,19jan2003,0
"USA",30,3159,"Paige","Male",1933,"Secretary of Education","REP",61620,20,1,2001,20jan2001,19,1,2003,19jan2003,0
"USA",30,10,"Abraham","Male",1952,"Secretary of Energy","REP",61620,20,1,2001,20jan2001,19,1,2003,19jan2003,0
"USA",30,4177,"Thompson","Male",1941,"Secretary of Health and Human Services","REP",61620,24,1,2001,24jan2001,19,1,2003,19jan2003,0
"USA",30,2602,"Martinez","Male",1946,"Secretary of Housing and Urban Development","REP",61620,24,1,2001,24jan2001,19,1,2003,19jan2003,0
"USA",30,705,"Chao","Female",1953,"Secretary of Labor","REP",61620,29,1,2001,29jan2001,19,1,2003,19jan2003,0
"USA",30,3415,"Powell","Male",1937,"Secretary of State","REP",61620,20,1,2001,20jan2001,19,1,2003,19jan2003,0
"USA",30,2762,"Mineta","Male",1931,"Secretary of Transportation","DEM",61320,25,1,2001,25jan2001,19,1,2003,19jan2003,0
"USA",30,3431,"Principi","Male",1944,"Secretary of Veterans Affairs","REP",61620,23,1,2001,23jan2001,19,1,2003,19jan2003,0
"USA",30,3013,"Norton","Female",1954,"Secretary of the Interior","REP",61620,31,1,2001,31jan2001,19,1,2003,19jan2003,0
"USA",30,3035,"O'Neill","Male",1935,"Secretary of the Treasury","REP",61620,20,1,2001,20jan2001,6,12,2002,06dec2002,0
"USA",30,4614,"Zoellick","Male",1953,"United States Trade Representative","REP",61620,7,2,2001,07feb2001,19,1,2003,19jan2003,0
"USA",30,714,"Cheney","Male",1941,"Vice President of the United States","REP",61620,20,1,2001,20jan2001,19,1,2003,19jan2003,0
"USA",31,168,"Ashcroft","Male",1942,"Attorney General","REP",61620,20,1,2003,20jan2003,19,1,2005,19jan2005,0
"USA",31,464,"Bolten","Male",1955,"Director of Office of Management and Budget","REP",61620,26,6,2003,26jun2003,19,1,2005,19jan2005,0
"USA",31,922,"Daniels","Male",1949,"Director of Office of Management and Budget","REP",61620,20,1,2003,20jan2003,6,5,2003,06may2003,0
"USA",31,608,"Bush","Male",1946,"President of the United States","REP",61620,20,1,2003,20jan2003,19,1,2005,19jan2005,0
"USA",31,4379,"Veneman","Female",1949,"Secretary of Agriculture","REP",61620,20,1,2003,20jan2003,19,1,2005,19jan2005,0
"USA",31,1175,"Evans","Male",1946,"Secretary of Commerce","REP",61620,20,1,2003,20jan2003,19,1,2005,19jan2005,0
"USA",31,3650,"Rumsfeld","Male",1932,"Secretary of Defense","REP",61620,20,1,2003,20jan2003,19,1,2005,19jan2005,0
"USA",31,3159,"Paige","Male",1933,"Secretary of Education","REP",61620,20,1,2003,20jan2003,19,1,2005,19jan2005,0
"USA",31,10,"Abraham","Male",1952,"Secretary of Energy","REP",61620,20,1,2003,20jan2003,19,1,2005,19jan2005,0
"USA",31,4177,"Thompson","Male",1941,"Secretary of Health and Human Services","REP",61620,20,1,2003,20jan2003,19,1,2005,19jan2005,0
"USA",31,3556,"Ridge","Male",1945,"Secretary of Homeland Security","REP",61620,22,1,2003,22jan2003,19,1,2005,19jan2005,0
"USA",31,2602,"Martinez","Male",1946,"Secretary of Housing and Urban Development","REP",61620,20,1,2003,20jan2003,12,12,2003,12dec2003,0
"USA",31,1838,"Jackson","Male",1945,"Secretary of Housing and Urban Development","REP",61620,31,3,2004,31mar2004,19,1,2005,19jan2005,0
"USA",31,705,"Chao","Female",1953,"Secretary of Labor","REP",61620,20,1,2003,20jan2003,19,1,2005,19jan2005,0
"USA",31,3415,"Powell","Male",1937,"Secretary of State","REP",61620,20,1,2003,20jan2003,19,1,2005,19jan2005,0
"USA",31,2762,"Mineta","Male",1931,"Secretary of Transportation","DEM",61320,20,1,2003,20jan2003,19,1,2005,19jan2005,0
"USA",31,3431,"Principi","Male",1944,"Secretary of Veterans Affairs","REP",61620,20,1,2003,20jan2003,19,1,2005,19jan2005,0
"USA",31,3013,"Norton","Female",1954,"Secretary of the Interior","REP",61620,20,1,2003,20jan2003,19,1,2005,19jan2005,0
"USA",31,3931,"Snow","Male",1939,"Secretary of the Treasury","REP",61620,30,1,2003,30jan2003,19,1,2005,19jan2005,0
"USA",31,4614,"Zoellick","Male",1953,"United States Trade Representative","REP",61620,20,1,2003,20jan2003,19,1,2005,19jan2005,0
"USA",31,714,"Cheney","Male",1941,"Vice President of the United States","REP",61620,20,1,2003,20jan2003,19,1,2005,19jan2005,0
"USA",32,1459,"Gonzales","Male",1955,"Attorney General","REP",61620,3,2,2005,03feb2005,19,1,2007,19jan2007,0
"USA",32,3409,"Portman","Male",1955,"Director of Office of Management and Budget","REP",61620,26,5,2006,26may2006,19,1,2007,19jan2007,0
"USA",32,464,"Bolten","Male",1955,"Director of Office of Management and Budget","REP",61620,20,1,2005,20jan2005,13,4,2006,13apr2006,0
"USA",32,608,"Bush","Male",1946,"President of the United States","REP",61620,20,1,2005,20jan2005,19,1,2007,19jan2007,0
"USA",32,1906,"Johanns","Male",1950,"Secretary of Agriculture","REP",61620,25,1,2005,25jan2005,19,1,2007,19jan2007,0
"USA",32,1550,"Gutierrez","Male",1953,"Secretary of Commerce","REP",61620,7,2,2005,07feb2005,19,1,2007,19jan2007,0
"USA",32,1377,"Gates","Male",1943,"Secretary of Defense","REP",61620,6,12,2006,06dec2006,19,1,2007,19jan2007,0
"USA",32,3650,"Rumsfeld","Male",1932,"Secretary of Defense","REP",61620,20,1,2005,20jan2005,8,11,2006,08nov2006,0
"USA",32,3974,"Spellings","Female",1957,"Secretary of Education","REP",61620,20,1,2005,20jan2005,19,1,2007,19jan2007,0
"USA",32,446,"Bodman","Male",1938,"Secretary of Energy","REP",61620,1,2,2005,01feb2005,19,1,2007,19jan2007,0
"USA",32,2347,"Leavitt","Male",1951,"Secretary of Health and Human Services","REP",61620,25,1,2005,25jan2005,19,1,2007,19jan2007,0
"USA",32,715,"Chertoff","Male",1953,"Secretary of Homeland Security","REP",61620,15,2,2005,15feb2005,19,1,2007,19jan2007,0
"USA",32,1838,"Jackson","Male",1945,"Secretary of Housing and Urban Development","REP",61620,20,1,2005,20jan2005,19,1,2007,19jan2007,0
"USA",32,705,"Chao","Female",1953,"Secretary of Labor","REP",61620,7,2,2005,07feb2005,19,1,2007,19jan2007,0
"USA",32,3546,"Rice","Female",1954,"Secretary of State","REP",61620,26,1,2005,26jan2005,19,1,2007,19jan2007,0
"USA",32,3298,"Peters","Female",1948,"Secretary of Transportation","DEM",61320,30,9,2006,30sep2006,19,1,2007,19jan2007,0
"USA",32,2762,"Mineta","Male",1931,"Secretary of Transportation","DEM",61320,20,1,2005,20jan2005,9,7,2006,09jul2006,0
"USA",32,2971,"Nicholson","Male",1938,"Secretary of Veterans Affairs","REP",61620,1,2,2005,01feb2005,19,1,2007,19jan2007,0
"USA",32,2060,"Kempthorne","Male",1951,"Secretary of the Interior","REP",61620,26,5,2006,26may2006,19,1,2007,19jan2007,0
"USA",32,3013,"Norton","Female",1954,"Secretary of the Interior","REP",61620,20,1,2005,20jan2005,10,3,2006,10mar2006,0
"USA",32,3235,"Paulson","Male",1946,"Secretary of the Treasury","REP",61620,28,6,2006,28jun2006,19,1,2007,19jan2007,0
"USA",32,3931,"Snow","Male",1939,"Secretary of the Treasury","REP",61620,20,1,2005,20jan2005,30,5,2006,30may2006,0
"USA",32,3409,"Portman","Male",1955,"United States Trade Representative","REP",61620,29,5,2005,29may2005,17,4,2006,17apr2006,0
"USA",32,4614,"Zoellick","Male",1953,"United States Trade Representative","REP",61620,20,1,2005,20jan2005,22,2,2005,22feb2005,0
"USA",32,3772,"Schwab","Female",1955,"United States Trade Representative","REP",61620,8,6,2006,08jun2006,19,1,2007,19jan2007,0
"USA",32,714,"Cheney","Male",1941,"Vice President of the United States","REP",61620,20,1,2005,20jan2005,19,1,2007,19jan2007,0
"USA",33,2871,"Mukasey","Male",1941,"Attorney General","REP",61620,8,11,2007,08nov2007,19,1,2009,19jan2009,0
"USA",33,1459,"Gonzales","Male",1955,"Attorney General","REP",61620,20,1,2007,20jan2007,27,8,2007,27aug2007,0
"USA",33,3021,"Nussle","Male",1960,"Director of Office of Management and Budget","REP",61620,4,9,2007,04sep2007,19,1,2009,19jan2009,0
"USA",33,3409,"Portman","Male",1955,"Director of Office of Management and Budget","REP",61620,20,1,2007,20jan2007,19,6,2007,19jun2007,0
"USA",33,608,"Bush","Male",1946,"President of the United States","REP",61620,20,1,2007,20jan2007,19,1,2009,19jan2009,0
"USA",33,1906,"Johanns","Male",1950,"Secretary of Agriculture","REP",61620,20,1,2007,20jan2007,20,9,2007,20sep2007,0
"USA",33,3729,"Schafer","Male",1964,"Secretary of Agriculture","REP",61620,28,1,2008,28jan2008,19,1,2009,19jan2009,0
"USA",33,1550,"Gutierrez","Male",1953,"Secretary of Commerce","REP",61620,20,1,2007,20jan2007,19,1,2009,19jan2009,0
"USA",33,1377,"Gates","Male",1943,"Secretary of Defense","REP",61620,20,1,2007,20jan2007,19,1,2009,19jan2009,0
"USA",33,3974,"Spellings","Female",1957,"Secretary of Education","REP",61620,20,1,2007,20jan2007,19,1,2009,19jan2009,0
"USA",33,446,"Bodman","Male",1938,"Secretary of Energy","REP",61620,20,1,2007,20jan2007,19,1,2009,19jan2009,0
"USA",33,2347,"Leavitt","Male",1951,"Secretary of Health and Human Services","REP",61620,20,1,2007,20jan2007,19,1,2009,19jan2009,0
"USA",33,715,"Chertoff","Male",1953,"Secretary of Homeland Security","REP",61620,20,1,2007,20jan2007,19,1,2009,19jan2009,0
"USA",33,1838,"Jackson","Male",1945,"Secretary of Housing and Urban Development","REP",61620,20,1,2007,20jan2007,18,4,2008,18apr2008,0
"USA",33,3428,"Preston","Male",1960,"Secretary of Housing and Urban Development","REP",61620,29,6,2008,29jun2008,19,1,2009,19jan2009,0
"USA",33,705,"Chao","Female",1953,"Secretary of Labor","REP",61620,20,1,2007,20jan2007,19,1,2009,19jan2009,0
"USA",33,3546,"Rice","Female",1954,"Secretary of State","REP",61620,20,1,2007,20jan2007,19,1,2009,19jan2009,0
"USA",33,3298,"Peters","Female",1948,"Secretary of Transportation","DEM",61320,20,1,2007,20jan2007,19,1,2009,19jan2009,0
"USA",33,2971,"Nicholson","Male",1938,"Secretary of Veterans Affairs","REP",61620,20,1,2007,20jan2007,1,10,2007,01oct2007,0
"USA",33,3245,"Peake","Male",1944,"Secretary of Veterans Affairs","REP",61620,14,12,2007,14dec2007,19,1,2009,19jan2009,0
"USA",33,2060,"Kempthorne","Male",1951,"Secretary of the Interior","REP",61620,20,1,2007,20jan2007,19,1,2009,19jan2009,0
"USA",33,3235,"Paulson","Male",1946,"Secretary of the Treasury","REP",61620,20,1,2007,20jan2007,19,1,2009,19jan2009,0
"USA",33,3772,"Schwab","Female",1955,"United States Trade Representative","REP",61620,20,1,2007,20jan2007,19,1,2009,19jan2009,0
"USA",33,714,"Cheney","Male",1941,"Vice President of the United States","REP",61620,20,1,2007,20jan2007,19,1,2009,19jan2009,0
"USA",34,1720,"Holder","Male",1951,"Attorney General","DEM",61320,2,2,2009,02feb2009,20,1,2011,20jan2011,0
"USA",34,2932,"Napolitano","Female",1957,"Department of Homeland Security","DEM",61320,20,1,2009,20jan2009,20,1,2011,20jan2011,0
"USA",34,3038,"Obama","Male",1961,"President of the United States","DEM",61320,20,1,2009,20jan2009,20,1,2011,20jan2011,0
"USA",34,4413,"Vilsack","Male",1950,"Secretary of Agriculture","DEM",61320,20,1,2009,20jan2009,20,1,2011,20jan2011,0
"USA",34,2424,"Locke","Male",1950,"Secretary of Commerce","DEM",61320,24,3,2009,24mar2009,20,1,2011,20jan2011,0
"USA",34,1377,"Gates","Male",1943,"Secretary of Defense","REP",61620,20,1,2009,20jan2009,20,1,2011,20jan2011,0
"USA",34,1092,"Duncan","Male",1964,"Secretary of Education","DEM",61320,20,1,2009,20jan2009,20,1,2011,20jan2011,0
"USA",34,743,"Chu","Male",1948,"Secretary of Energy","DEM",61320,20,1,2009,20jan2009,20,1,2011,20jan2011,0
"USA",34,3785,"Sebelius","Female",1948,"Secretary of Health and Human Services","DEM",61320,28,4,2009,28apr2009,20,1,2011,20jan2011,0
"USA",34,1053,"Donovan","Male",1966,"Secretary of Housing and Urban Development","DEM",61320,22,1,2009,22jan2009,20,1,2011,20jan2011,0
"USA",34,3950,"Solis","Female",1957,"Secretary of Labor","DEM",61320,24,2,2009,24feb2009,20,1,2011,20jan2011,0
"USA",34,776,"Clinton","Female",1947,"Secretary of State","DEM",61320,21,1,2009,21jan2009,20,1,2011,20jan2011,0
"USA",34,2278,"LaHood","Male",1945,"Secretary of Transportation","DEM",61320,21,1,2009,21jan2009,20,1,2011,20jan2011,0
"USA",34,3839,"Shinseki","Male",1942,"Secretary of Veterans Affairs","DEM",61320,20,1,2009,20jan2009,20,1,2011,20jan2011,0
"USA",34,3684,"Salazar","Male",1955,"Secretary of the Interior","DEM",61320,20,1,2009,20jan2009,20,1,2011,20jan2011,0
